"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Barret Wallace","R","U","70620","5.83","8077","8.64","19853","41.3%","52.8%","3440","51.5%","4674","52.6%","8114","52.2%","11754","53.3%","-1.1pp"
"Blazing Bomb","R","C","205020","6.83","28939","9.39","85223","48.9%","55.7%","15123","57.0%","22363","56.1%","37486","56.5%","47471","55.0%","1.4pp"
"Call the Mountain Chocobo","R","C","175752","5.35","32162","7.10","137951","70.8%","55.9%","23600","55.5%","34956","58.7%","58556","57.4%","78875","54.7%","2.7pp"
"Choco-Comet","R","U","39282","3.08","14430","3.37","78572","87.7%","57.6%","13352","58.1%","20324","63.3%","33676","61.3%","44313","54.7%","6.6pp"
"Clive, Ifrit's Dominant","R","M","3733","1.69","2036","1.67","10421","86.8%","54.3%","1751","53.7%","2678","56.2%","4429","55.2%","5950","53.3%","1.9pp"
"Coral Sword","R","U","72375","5.87","8779","8.52","23994","45.8%","54.3%","3917","53.1%","5551","54.5%","9468","54.0%","13982","54.0%","-0.1pp"
"The Fire Crystal","R","R","22305","4.70","2420","7.40","2284","16.1%","47.0%","395","","555","41.8%","950","42.7%","1325","49.7%","-7.0pp"
"Fire Magic","R","U","56455","4.41","10189","5.68","39824","65.7%","54.6%","6967","53.8%","10549","59.2%","17516","57.1%","22083","52.6%","4.5pp"
"Firion, Wild Rose Warrior","R","R","12078","2.70","3531","2.80","16047","75.1%","55.3%","2843","58.1%","3736","54.7%","6579","56.2%","9465","54.7%","1.5pp"
"Freya Crescent","R","U","68773","5.63","9051","7.76","28363","52.3%","54.7%","4996","57.5%","6409","51.4%","11405","54.1%","16913","55.2%","-1.1pp"
"Gilgamesh, Master-at-Arms","R","R","13114","2.91","4094","2.96","16491","66.5%","55.8%","2741","57.4%","3881","59.6%","6622","58.7%","9835","53.9%","4.8pp"
"Haste Magic","R","C","216801","7.85","22584","11.60","18134","13.4%","51.0%","3017","49.6%","4369","50.8%","7386","50.3%","10730","51.6%","-1.3pp"
"Hill Gigas","R","C","209436","6.93","23605","10.22","53225","37.8%","52.0%","9408","48.7%","13144","52.2%","22552","50.8%","30523","52.8%","-2.0pp"
"Item Shopkeep","R","C","213408","7.62","24862","10.92","44215","29.6%","54.0%","7956","53.1%","10014","52.5%","17970","52.7%","26201","54.8%","-2.1pp"
"Laughing Mad","R","C","215349","7.58","25885","10.91","44323","28.6%","53.4%","7763","51.7%","11094","54.5%","18857","53.4%","25382","53.4%","-0.1pp"
